side,entry_price,exit_price,qty,pnl,pnl_pct,entry_time,exit_time,exit_reason
BUY,0.07991903954999999,0.08111930577142858,125126.62885223576,150.1853,1.5019,2024-02-08 20:00:00,2024-02-09 04:00:00,take_profit
BUY,0.08141098515,0.08284885485000001,124678.32501118639,179.2712,1.7662,2024-02-09 16:00:00,2024-02-11 04:00:00,take_profit
BUY,0.08178497205,0.0800293653,126300.17707260326,-221.7334,-2.1466,2024-02-12 16:00:00,2024-02-13 12:00:00,stop_loss
BUY,0.1671849507,0.17902428593571432,41781.284690042245,494.6626,7.0816,2024-03-13 12:00:00,2024-03-14 04:00:00,take_profit
BUY,0.17150380904999998,0.15708868779285715,36976.799853596065,-533.0251,-8.4051,2024-04-13 08:00:00,2024-04-13 16:00:00,stop_loss
BUY,0.15850171124999998,0.15181565419999998,25586.220756739836,-171.0709,-4.2183,2024-04-14 04:00:00,2024-04-19 04:00:00,signal
BUY,0.14383448129999998,0.13892371767857142,68817.22358711029,-337.9451,-3.4142,2024-04-29 20:00:00,2024-04-30 08:00:00,stop_loss
BUY,0.12704789219999998,0.13501727187857143,58552.51133613632,466.6272,6.2727,2024-05-01 16:00:00,2024-05-03 00:00:00,take_profit
BUY,0.14240576729999999,0.14640149120714285,70411.27564649109,281.344,2.8059,2024-05-13 04:00:00,2024-05-13 12:00:00,take_profit
BUY,0.16045418699999997,0.16448711530000001,64244.60430218301,259.0939,2.5134,2024-06-04 16:00:00,2024-06-05 04:00:00,take_profit
BUY,0.14829991289999997,0.14187395610714287,71257.01848781097,-457.8945,-4.3331,2024-06-07 20:00:00,2024-06-11 00:00:00,stop_loss
BUY,0.13286419889999998,0.12969483442857144,76089.08341723018,-241.154,-2.3854,2024-06-17 16:00:00,2024-06-17 20:00:00,stop_loss
BUY,0.1193012208,0.1260604810857143,71081.68680024211,480.4596,5.6657,2024-06-18 12:00:00,2024-06-19 00:00:00,take_profit
BUY,0.10774464539999999,0.10202223479285716,91237.33287899489,-522.0975,-5.3111,2024-07-04 16:00:00,2024-07-05 00:00:00,stop_loss
BUY,0.10346620725,0.11187513445000001,57343.433948494996,482.1968,8.1272,2024-07-05 12:00:00,2024-07-06 16:00:00,take_profit
BUY,0.11810272185,0.12361214872142857,87287.7425414443,480.9054,4.6649,2024-07-18 16:00:00,2024-07-19 16:00:00,take_profit
BUY,0.11925309674999998,0.11377466992142858,90478.36665583933,-495.6791,-4.5939,2024-08-01 20:00:00,2024-08-02 12:00:00,stop_loss
BUY,0.11262798584999999,0.1056666830857143,74504.0981878375,-518.6456,-6.1808,2024-08-02 16:00:00,2024-08-03 20:00:00,stop_loss
BUY,0.10820457524999999,0.10029895400714285,62221.16396829938,-491.897,-7.3062,2024-08-03 20:00:00,2024-08-04 16:00:00,stop_loss
BUY,0.10484129445,0.09790765025714286,67422.32611392743,-467.4824,-6.6135,2024-08-04 16:00:00,2024-08-05 00:00:00,stop_loss
