side,entry_price,exit_price,qty,pnl,pnl_pct,entry_time,exit_time,exit_reason
BUY,69748.61687999999,67888.48449142858,0.14337201864812094,-266.6909,-2.6669,2024-04-01 16:00:00,2024-04-02 00:00:00,stop_loss
BUY,65657.222205,67789.70390642858,0.14824430180898734,316.1283,3.2479,2024-04-02 08:00:00,2024-04-04 12:00:00,take_profit
BUY,64293.760814999994,63835.386340000005,0.15630501619531817,-71.6462,-0.7129,2024-04-24 20:00:00,2024-04-28 04:00:00,signal
BUY,62418.123465,63643.739354285724,0.1598540702894246,195.9197,1.9636,2024-04-29 04:00:00,2024-04-29 20:00:00,take_profit
BUY,60790.31997,58459.97217732144,0.1673574146219749,-390.001,-3.8334,2024-04-30 12:00:00,2024-05-01 04:00:00,stop_loss
BUY,62944.326435,60497.02599803572,0.15543433946461135,-380.3945,-3.888,2024-05-08 00:00:00,2024-05-10 16:00:00,stop_loss
BUY,68343.784815,67545.280465,0.13758844788932842,-109.865,-1.1684,2024-05-28 08:00:00,2024-05-31 16:00:00,signal
BUY,69450.697995,67453.48210142857,0.1338136342718657,-267.2547,-2.8757,2024-06-08 00:00:00,2024-06-11 04:00:00,stop_loss
BUY,67596.28125,66320.70163214287,0.1335309490014941,-170.3294,-1.8871,2024-06-11 04:00:00,2024-06-11 12:00:00,stop_loss
BUY,66635.811255,65457.500591428565,0.13289950344411058,-156.5969,-1.7683,2024-06-17 16:00:00,2024-06-18 00:00:00,stop_loss
BUY,64237.202549999995,62413.74180357143,0.1354241620114485,-246.9406,-2.8386,2024-06-21 16:00:00,2024-06-24 04:00:00,stop_loss
BUY,59311.691025,60326.034750714294,0.14250695833617186,144.551,1.7102,2024-06-24 16:00:00,2024-06-24 20:00:00,take_profit
BUY,58546.448595,60077.34058857144,0.14683862005492662,224.7941,2.6148,2024-08-12 00:00:00,2024-08-12 12:00:00,take_profit
BUY,63032.32040999999,61444.14862839287,0.13995476814456786,-222.2722,-2.5196,2024-08-27 00:00:00,2024-08-27 12:00:00,stop_loss
BUY,62143.886415,60447.51255285715,0.13837888280272426,-234.7423,-2.7298,2024-08-27 16:00:00,2024-08-27 20:00:00,stop_loss
BUY,57754.682909999996,59139.205605,0.14483084026801427,200.5216,2.3972,2024-09-02 00:00:00,2024-09-02 20:00:00,take_profit
BUY,56785.728675,54375.78422142858,0.15083333507219468,-363.5,-4.2439,2024-09-04 04:00:00,2024-09-06 12:00:00,stop_loss
BUY,57964.347689999995,59135.456052142865,0.14149526749007213,165.7063,2.0204,2024-09-16 16:00:00,2024-09-17 08:00:00,take_profit
BUY,64608.488099999995,63427.25979107143,0.12950910040325428,-152.9798,-1.8283,2024-09-30 04:00:00,2024-09-30 08:00:00,stop_loss
BUY,63356.25229499999,61927.052055892855,0.12965424972325004,-185.3019,-2.2558,2024-09-30 20:00:00,2024-10-01 12:00:00,stop_loss
BUY,67788.787455,66468.50912,0.11844297225716525,-156.3777,-1.9476,2024-10-21 16:00:00,2024-10-23 08:00:00,stop_loss
BUY,97228.14977999999,95000.66269232142,0.08097169183501968,-180.3634,-2.291,2024-12-02 12:00:00,2024-12-02 16:00:00,stop_loss
BUY,97048.5,99445.63088214287,0.07926309405756196,190.004,2.47,2024-12-09 16:00:00,2024-12-11 12:00:00,take_profit
BUY,94303.99843499999,91965.74448196428,0.08358466793598242,-195.4422,-2.4795,2024-12-30 16:00:00,2024-12-30 20:00:00,stop_loss
