side,entry_price,exit_price,qty,pnl,pnl_pct,entry_time,exit_time,exit_reason
BUY,0.0786997302,0.07974417939285715,127065.23865567204,132.7132,1.3271,2024-02-05 04:00:00,2024-02-05 08:00:00,take_profit
BUY,0.08136326129999999,0.08284836937857143,124536.71379510104,184.9505,1.8253,2024-02-12 12:00:00,2024-02-14 08:00:00,take_profit
BUY,0.17615083139999999,0.18703881952142856,37047.23027354767,403.3698,6.1811,2024-04-05 12:00:00,2024-04-06 20:00:00,take_profit
BUY,0.14907019785,0.16100274407142856,35303.76579093088,421.2638,8.0046,2024-04-18 08:00:00,2024-04-20 16:00:00,take_profit
BUY,0.151025475,0.14997377560000003,69133.87827883175,-72.7081,-0.6964,2024-04-24 20:00:00,2024-04-28 04:00:00,signal
BUY,0.14054633805,0.1451570423142857,78761.13587311946,363.1443,3.2806,2024-04-29 08:00:00,2024-04-30 00:00:00,take_profit
BUY,0.13405759529999997,0.1268020601107143,79481.16439866691,-576.6784,-5.4123,2024-04-30 12:00:00,2024-05-01 04:00:00,stop_loss
BUY,0.12516565154999998,0.13286326370714285,55130.177637885565,424.3707,6.1499,2024-05-01 08:00:00,2024-05-02 12:00:00,take_profit
BUY,0.15157344885000001,0.14300636105,62075.74912457822,-531.8084,-5.6521,2024-05-08 00:00:00,2024-05-11 08:00:00,signal
BUY,0.15694333245,0.16116543411428572,68487.2514957578,289.1601,2.6902,2024-06-02 20:00:00,2024-06-03 04:00:00,take_profit
BUY,0.14829991289999997,0.14030452335892857,69637.19890013932,-556.7765,-5.3914,2024-06-07 20:00:00,2024-06-11 04:00:00,stop_loss
BUY,0.13286419889999998,0.12893569276071432,78885.06590658704,-309.9005,-2.9568,2024-06-17 16:00:00,2024-06-17 20:00:00,stop_loss
BUY,0.12153903914999999,0.11689983869821428,83685.87321632127,-388.2355,-3.817,2024-06-24 00:00:00,2024-06-24 08:00:00,stop_loss
BUY,0.11554394309999999,0.12016701500714287,81743.16787104757,377.9045,4.0011,2024-06-24 16:00:00,2024-06-25 00:00:00,take_profit
BUY,0.11810272185,0.11299087273035716,86033.32306090007,-439.7894,-4.3283,2024-07-03 12:00:00,2024-07-04 00:00:00,stop_loss
BUY,0.12555624675,0.11950921550000002,77423.31033436903,-468.1812,-4.8162,2024-07-30 20:00:00,2024-08-01 04:00:00,stop_loss
BUY,0.11486180219999999,0.10850196116607144,73370.12734034126,-466.6223,-5.537,2024-08-01 16:00:00,2024-08-03 00:00:00,stop_loss
BUY,0.1003429464,0.10401315312142859,87561.47839156757,321.3687,3.6577,2024-08-15 20:00:00,2024-08-18 12:00:00,take_profit
BUY,0.10556285504999999,0.10085748531607143,86276.04335982555,-405.9607,-4.4574,2024-08-26 20:00:00,2024-08-27 20:00:00,stop_loss
BUY,0.09950582805,0.10149822550000001,87447.9912063035,174.2312,2.0023,2024-08-28 00:00:00,2024-08-31 08:00:00,signal
BUY,0.09911633339999999,0.0947430297875,89549.47813857903,-391.6271,-4.4123,2024-09-01 16:00:00,2024-09-01 20:00:00,stop_loss
BUY,0.09765050084999999,0.10055202740714285,86883.2090044367,252.0939,2.9713,2024-09-02 08:00:00,2024-09-03 00:00:00,take_profit
BUY,0.10275845354999999,0.09889480643214286,85017.65559155439,-328.4782,-3.7599,2024-09-16 04:00:00,2024-09-16 16:00:00,stop_loss
BUY,0.09986430719999999,0.10300738482857144,84192.2888044765,264.6229,3.1473,2024-09-16 20:00:00,2024-09-18 16:00:00,take_profit
BUY,0.39174867644999994,0.40828685444999996,20292.525815417113,335.6014,4.2216,2024-12-14 16:00:00,2024-12-15 20:00:00,take_profit
BUY,0.37686974069999996,0.3546858612107143,20466.79446135544,-454.0329,-5.8864,2024-12-18 16:00:00,2024-12-18 20:00:00,stop_loss
BUY,0.31196200304999994,0.2810270340482143,13888.88906378841,-429.6524,-9.9163,2024-12-19 16:00:00,2024-12-20 08:00:00,stop_loss
BUY,0.32505054405,0.33882021942857143,22834.708785383704,314.4265,4.2362,2025-01-13 12:00:00,2025-01-14 00:00:00,take_profit
BUY,0.3288535446,0.31282105051607145,25661.18050991087,-411.4127,-4.8753,2025-01-27 00:00:00,2025-01-27 04:00:00,stop_loss
BUY,0.3083076768,0.29115036270892863,23593.683899468047,-404.8042,-5.565,2025-02-01 20:00:00,2025-02-02 08:00:00,stop_loss
BUY,0.29490547905000003,0.27242856757500006,17059.844604877475,-383.4526,-7.6217,2025-02-02 12:00:00,2025-02-02 16:00:00,stop_loss
