side,entry_price,exit_price,qty,pnl,pnl_pct,entry_time,exit_time,exit_reason
BUY,0.5418708,0.5521195164285715,18454.583638756692,189.1358,1.8914,2024-02-26 12:00:00,2024-02-26 20:00:00,take_profit
BUY,0.614216955,0.6389417978571429,15922.395204965034,393.6787,4.0254,2024-03-27 16:00:00,2024-03-29 12:00:00,take_profit
BUY,0.59919945,0.615142275,17661.589165132013,281.5756,2.6607,2024-04-01 12:00:00,2024-04-02 00:00:00,take_profit
BUY,0.599929815,0.5728719921428571,18109.435249779435,-490.0019,-4.5102,2024-04-02 04:00:00,2024-04-03 00:00:00,stop_loss
BUY,0.53794884,0.5132286144642857,19285.083407045222,-476.7316,-4.5953,2024-04-12 16:00:00,2024-04-13 16:00:00,stop_loss
BUY,0.50361168,0.5182021978571429,19653.350051027424,286.7526,2.8972,2024-04-29 00:00:00,2024-04-30 00:00:00,take_profit
BUY,0.49488732,0.5117482835714285,20579.248608952443,346.986,3.407,2024-04-30 12:00:00,2024-05-01 16:00:00,take_profit
BUY,0.505542645,0.5068364550000001,20831.86306235574,26.9525,0.2559,2024-05-10 16:00:00,2024-05-14 00:00:00,signal
BUY,0.51029502,0.5204139485714286,20690.673457032422,209.3674,1.983,2024-05-19 20:00:00,2024-05-20 16:00:00,take_profit
BUY,0.520990365,0.5122537450000001,20667.78158628,-180.5666,-1.6769,2024-05-30 08:00:00,2024-06-02 16:00:00,signal
BUY,0.48458217,0.49718271285714283,21847.994362677382,275.2966,2.6003,2024-06-11 08:00:00,2024-06-12 12:00:00,take_profit
BUY,0.4764381,0.4654314535714286,22799.2788732125,-250.9436,-2.3102,2024-06-24 00:00:00,2024-06-24 08:00:00,stop_loss
BUY,0.46699337999999996,0.47762963714285717,22723.0234106095,241.6879,2.2776,2024-06-24 16:00:00,2024-06-25 00:00:00,take_profit
BUY,0.56160066,0.5792530857142857,19325.457036318414,341.1412,3.1432,2024-08-15 20:00:00,2024-08-18 12:00:00,take_profit
BUY,0.58757364,0.5629037644642857,19051.791739885222,-470.0053,-4.1986,2024-08-26 20:00:00,2024-08-27 20:00:00,stop_loss
BUY,0.568634175,0.5412078321428572,18859.797320783568,-517.2553,-4.8232,2024-08-28 00:00:00,2024-09-04 00:00:00,stop_loss
BUY,0.5394095699999999,0.5164941237499999,18922.671362013367,-433.6215,-4.2482,2024-09-06 08:00:00,2024-09-06 16:00:00,stop_loss
BUY,0.5020509,0.5159419000000002,19467.047194083927,270.4168,2.7669,2024-10-25 20:00:00,2024-10-27 12:00:00,take_profit
BUY,0.5056527,0.5168842857142856,19863.169556308778,223.0949,2.2212,2024-10-31 16:00:00,2024-11-01 00:00:00,take_profit
BUY,0.50075025,0.51444265,20503.155431543782,280.7374,2.7344,2024-11-03 16:00:00,2024-11-05 08:00:00,take_profit
BUY,2.09774835,2.006624757142857,5028.1043546359015,-458.1789,-4.3439,2024-12-30 00:00:00,2024-12-30 12:00:00,stop_loss
BUY,2.1026507999999997,2.187562814285714,4591.478124497578,389.8717,4.0383,2024-12-30 16:00:00,2025-01-01 12:00:00,take_profit
BUY,2.28244065,2.3967438857142858,3565.7714994611238,407.5792,5.0079,2025-01-07 16:00:00,2025-01-08 20:00:00,take_profit
BUY,3.0038011499999997,2.8890690285714284,3624.3975590116142,-415.8348,-3.8196,2025-01-27 00:00:00,2025-01-27 04:00:00,stop_loss
BUY,2.9732859,2.840968091071429,3521.7382677428836,-465.9887,-4.4502,2025-02-01 12:00:00,2025-02-01 20:00:00,stop_loss
BUY,2.8820403,2.7150810660714284,3020.8589261719853,-504.3603,-5.7931,2025-02-02 04:00:00,2025-02-02 16:00:00,stop_loss
BUY,2.65062465,2.497211483928572,3121.891434735934,-478.9392,-5.7878,2025-02-17 16:00:00,2025-02-18 16:00:00,stop_loss
BUY,2.4038013,2.2738910571428574,3503.011314039339,-455.0771,-5.4044,2025-02-24 16:00:00,2025-02-24 20:00:00,stop_loss
BUY,2.3506747499999996,2.2386301250000002,3644.3874049229735,-408.334,-4.7665,2025-03-26 20:00:00,2025-03-28 04:00:00,stop_loss
BUY,2.2265127,2.103954639285714,3357.227283950093,-411.4553,-5.5045,2025-03-28 08:00:00,2025-03-29 08:00:00,stop_loss
BUY,1.92166035,1.7989964803571432,3181.1476156661215,-390.2119,-6.3832,2025-04-06 20:00:00,2025-04-07 04:00:00,stop_loss
BUY,2.08354125,2.0808590500000004,2848.9720651331677,-7.6415,-0.1287,2025-04-16 00:00:00,2025-04-19 08:00:00,signal
BUY,2.04972435,2.0941095642857146,3585.4219994104456,159.1397,2.1654,2025-04-20 12:00:00,2025-04-21 00:00:00,take_profit
BUY,2.19659775,2.19820035,3256.6386608798025,5.2191,0.073,2025-04-30 16:00:00,2025-05-04 00:00:00,signal
BUY,2.14937415,2.0759579303571423,3495.6620233307226,-256.6383,-3.4157,2025-05-05 00:00:00,2025-05-06 12:00:00,stop_loss
