side,entry_price,exit_price,qty,pnl,pnl_pct,entry_time,exit_time,exit_reason
BUY,32.460222,31.445555071428576,308.0693656377334,-312.5878,-3.1259,2024-01-21 20:00:00,2024-01-22 08:00:00,stop_loss
BUY,31.154569499999997,34.087304964285714,269.87685870824936,791.4774,9.4135,2024-01-24 08:00:00,2024-01-28 00:00:00,take_profit
BUY,35.8168995,34.66651521428572,292.56830668732573,-336.566,-3.2118,2024-01-28 00:00:00,2024-01-28 16:00:00,stop_loss
BUY,35.389686,34.92352950000001,286.5898175811446,-133.5957,-1.3172,2024-01-29 00:00:00,2024-01-31 04:00:00,signal
BUY,36.573277499999996,36.2148835,273.6623193995869,-98.0789,-0.9799,2024-02-02 12:00:00,2024-02-04 00:00:00,signal
BUY,35.6047935,36.867664089285725,278.35153756462114,351.522,3.5469,2024-02-08 00:00:00,2024-02-09 12:00:00,take_profit
BUY,38.047014,39.666728142857146,269.7234265392982,436.8748,4.2571,2024-02-09 16:00:00,2024-02-10 04:00:00,take_profit
BUY,39.141560999999996,40.87744391071429,273.3423389602229,474.4903,4.4349,2024-02-10 04:00:00,2024-02-10 20:00:00,take_profit
BUY,40.7673735,39.41521110714286,274.08035323320416,-370.6011,-3.3168,2024-02-11 04:00:00,2024-02-11 20:00:00,stop_loss
BUY,39.590785499999996,39.950015,272.8648812236127,98.0211,0.9074,2024-02-13 12:00:00,2024-02-14 04:00:00,signal
BUY,42.3341565,40.793771482142866,257.49789293325233,-396.6459,-3.6386,2024-02-15 00:00:00,2024-02-16 04:00:00,stop_loss
BUY,36.7673745,38.64377558928572,285.6964997990919,536.0812,5.1034,2024-02-25 00:00:00,2024-02-26 16:00:00,take_profit
BUY,38.977478999999995,37.921708232142855,283.25052589677534,-299.0476,-2.7087,2024-02-26 16:00:00,2024-02-28 16:00:00,stop_loss
BUY,41.274626999999995,44.205279160714284,260.24084480905276,762.6754,7.1004,2024-02-29 00:00:00,2024-02-29 08:00:00,take_profit
BUY,43.6007895,41.47346717857143,263.84887351189604,-561.2916,-4.8791,2024-02-29 12:00:00,2024-02-29 20:00:00,stop_loss
BUY,41.9819805,42.8115835,209.36592660918703,173.6906,1.9761,2024-03-01 04:00:00,2024-03-01 20:00:00,signal
BUY,43.897937999999996,41.802338375,253.23326568349123,-530.6755,-4.7738,2024-03-03 00:00:00,2024-03-03 04:00:00,stop_loss
BUY,47.6167965,51.015336714285716,222.31110528209467,755.5332,7.1373,2024-03-11 16:00:00,2024-03-12 12:00:00,take_profit
BUY,58.5222465,56.373799000000005,193.79426747213265,-416.3568,-3.6712,2024-03-25 12:00:00,2024-03-26 12:00:00,stop_loss
BUY,47.01549599999999,49.91363783928571,232.3684744669342,673.4368,6.1642,2024-04-06 08:00:00,2024-04-08 08:00:00,take_profit
BUY,50.285129999999995,48.72512525,230.65180262653914,-359.8179,-3.1023,2024-04-08 08:00:00,2024-04-09 04:00:00,stop_loss
BUY,34.9264545,32.553143857142864,238.40505604721946,-565.8093,-6.7952,2024-04-18 20:00:00,2024-04-19 00:00:00,stop_loss
BUY,35.355669,39.24872296428571,224.60549260693006,874.4013,11.0111,2024-04-19 12:00:00,2024-04-22 08:00:00,take_profit
BUY,39.0004905,37.57759466071429,296.07653315750827,-421.2861,-3.6484,2024-04-23 00:00:00,2024-04-24 12:00:00,stop_loss
BUY,32.84041199999999,35.74433317857143,312.6395286600433,907.8805,8.8425,2024-05-02 00:00:00,2024-05-03 20:00:00,take_profit
BUY,35.511747,37.816689339285716,338.8660236872286,781.0666,6.4906,2024-05-04 00:00:00,2024-05-05 00:00:00,take_profit
BUY,37.628805,39.57306071428572,340.55801520720524,662.1319,5.1669,2024-05-05 00:00:00,2024-05-06 08:00:00,take_profit
BUY,35.7248535,34.63485248214286,377.2422191327214,-411.1944,-3.0511,2024-05-10 08:00:00,2024-05-10 12:00:00,stop_loss
BUY,34.201091999999996,36.161267464285714,382.02665019286576,748.8393,5.7313,2024-05-15 12:00:00,2024-05-17 04:00:00,take_profit
BUY,36.5172495,35.957012500000005,378.3025300443106,-211.9391,-1.5342,2024-05-17 08:00:00,2024-05-19 12:00:00,signal
BUY,39.903942,40.117931,340.88433673006296,72.9455,0.5363,2024-05-21 00:00:00,2024-05-23 08:00:00,signal
BUY,36.009995999999994,35.18036530357143,379.77161396845014,-315.0702,-2.3039,2024-06-02 00:00:00,2024-06-02 16:00:00,stop_loss
BUY,36.3111465,35.976003,367.94498106351404,-123.3144,-0.923,2024-06-05 00:00:00,2024-06-07 04:00:00,signal
BUY,33.028506,31.77531867857143,400.7807601886662,-502.2534,-3.7943,2024-06-10 00:00:00,2024-06-11 00:00:00,stop_loss
BUY,32.6052945,31.46347467857143,390.57878698918006,-445.9706,-3.5019,2024-06-12 16:00:00,2024-06-13 12:00:00,stop_loss
