side,entry_price,exit_price,qty,pnl,pnl_pct,entry_time,exit_time,exit_reason
BUY,0.5313125235,0.5511568194464286,18821.314306926928,373.4957,3.735,2024-02-08 08:00:00,2024-02-10 20:00:00,take_profit
BUY,0.5618317755,0.5529653076071429,18463.704232420027,-163.7078,-1.5781,2024-02-11 00:00:00,2024-02-11 08:00:00,stop_loss
BUY,0.57422697,0.6002488325892857,17780.056360723436,462.6702,4.5316,2024-02-14 12:00:00,2024-02-15 12:00:00,take_profit
BUY,0.601266483,0.5906835105000001,17749.963411640805,-187.8474,-1.7601,2024-02-15 12:00:00,2024-02-16 12:00:00,stop_loss
BUY,0.6201199049999999,0.6070506085714287,16907.392610199393,-220.9677,-2.1075,2024-02-18 00:00:00,2024-02-20 12:00:00,stop_loss
BUY,0.6165911414999999,0.6377509293035715,16645.784025389894,352.2213,3.4317,2024-02-26 16:00:00,2024-02-28 08:00:00,take_profit
BUY,0.6175536225,0.6502714873214287,17190.190202760812,562.4263,5.298,2024-02-28 16:00:00,2024-02-29 04:00:00,take_profit
BUY,0.6919377959999999,0.6700489507857144,16155.051241755735,-353.6154,-3.1634,2024-02-29 08:00:00,2024-02-29 16:00:00,stop_loss
BUY,0.735255444,0.7083233040357143,14722.332520978767,-396.5039,-3.663,2024-03-02 04:00:00,2024-03-03 04:00:00,stop_loss
BUY,0.7852544309999999,0.7598822973571429,13279.990284285486,-336.9417,-3.2311,2024-03-04 08:00:00,2024-03-05 00:00:00,stop_loss
BUY,0.775333473,0.7588131893214286,13015.340982322574,-215.0171,-2.1307,2024-03-11 16:00:00,2024-03-12 00:00:00,stop_loss
BUY,0.7945100565,0.7748973575,12430.569405765715,-243.797,-2.4685,2024-03-14 08:00:00,2024-03-14 12:00:00,stop_loss
BUY,0.477500631,0.5143370242678572,20172.571007028047,743.0848,7.7144,2024-04-20 08:00:00,2024-04-22 04:00:00,take_profit
BUY,0.46529853299999996,0.45464042321428577,22298.587697431783,-237.6608,-2.2906,2024-05-03 16:00:00,2024-05-05 00:00:00,stop_loss
BUY,0.465764766,0.45668954100000003,21766.007409502618,-197.5314,-1.9485,2024-05-08 16:00:00,2024-05-08 20:00:00,stop_loss
BUY,0.4878387975,0.48022412496428574,20376.21440563745,-155.1582,-1.5609,2024-05-17 08:00:00,2024-05-17 12:00:00,stop_loss
BUY,0.502285017,0.4950706265714286,19481.26940253111,-140.5455,-1.4363,2024-05-20 20:00:00,2024-05-21 16:00:00,stop_loss
BUY,0.457862817,0.45243281328571433,21064.39721991637,-114.3798,-1.1859,2024-06-03 20:00:00,2024-06-06 16:00:00,stop_loss
BUY,0.4837727655,0.47968924967857146,19699.795387457674,-80.4444,-0.8441,2024-06-07 08:00:00,2024-06-07 12:00:00,stop_loss
BUY,0.447549663,0.441852963,21114.483708662643,-120.2829,-1.2729,2024-06-10 12:00:00,2024-06-10 16:00:00,stop_loss
BUY,0.432746265,0.42452213275000006,21558.816201193134,-177.3026,-1.9005,2024-06-12 16:00:00,2024-06-13 12:00:00,stop_loss
BUY,0.39427503899999994,0.3862586312142857,23212.716322363398,-186.0826,-2.0332,2024-06-29 04:00:00,2024-06-29 16:00:00,stop_loss
