side,entry_price,exit_price,qty,pnl,pnl_pct,entry_time,exit_time,exit_reason
BUY,0.549044385,0.5689228962499999,18213.463743919358,362.0565,3.6206,2024-02-15 04:00:00,2024-02-15 20:00:00,take_profit
BUY,0.57806889,0.5668421514285714,17925.29700730819,-201.2426,-1.9421,2024-02-16 00:00:00,2024-02-16 04:00:00,stop_loss
BUY,0.567433575,0.5594608439285715,17906.613863338465,-142.7646,-1.4051,2024-02-20 04:00:00,2024-02-20 08:00:00,stop_loss
BUY,0.55113543,0.5668942682142858,18177.109941718674,286.4501,2.8593,2024-02-27 04:00:00,2024-02-27 12:00:00,take_profit
BUY,0.593206455,0.5843940853571429,17370.84846566821,-153.0783,-1.4855,2024-02-27 16:00:00,2024-02-27 20:00:00,stop_loss
BUY,0.631325505,0.6118889024999999,16079.535866322558,-312.5315,-3.0787,2024-03-02 04:00:00,2024-03-03 04:00:00,stop_loss
BUY,0.663341505,0.6439714246428571,14832.31409431179,-287.3031,-2.9201,2024-03-04 12:00:00,2024-03-04 16:00:00,stop_loss
BUY,0.7294445399999999,0.7123507892857143,13094.328512026827,-223.8312,-2.3434,2024-03-11 16:00:00,2024-03-12 00:00:00,stop_loss
BUY,0.614797245,0.5939814321428571,15172.083685425008,-315.8193,-3.3858,2024-03-19 00:00:00,2024-03-19 04:00:00,stop_loss
BUY,0.6380388599999999,0.6176560175,14124.431223609212,-287.8961,-3.1946,2024-03-21 16:00:00,2024-03-22 08:00:00,stop_loss
BUY,0.6405501149999999,0.6291074317857143,13619.605608886854,-155.8448,-1.7864,2024-03-25 20:00:00,2024-03-26 12:00:00,stop_loss
BUY,0.6272934899999999,0.6142077425000001,13658.989361648117,-178.7381,-2.0861,2024-03-29 12:00:00,2024-04-01 04:00:00,stop_loss
BUY,0.598409055,0.5833760232142858,14019.602394969452,-210.7571,-2.5122,2024-04-04 16:00:00,2024-04-05 00:00:00,stop_loss
BUY,0.5472735,0.5382064764285714,14944.447140639473,-135.5017,-1.6568,2024-05-06 16:00:00,2024-05-07 00:00:00,stop_loss
BUY,0.5192595,0.5108508753571429,15489.746914089414,-130.2475,-1.6193,2024-05-15 16:00:00,2024-05-19 16:00:00,stop_loss
BUY,0.53810892,0.5548856326785714,14705.109831896449,246.7034,3.1177,2024-05-20 20:00:00,2024-05-21 12:00:00,take_profit
BUY,0.53570772,0.5263224214285714,15231.541133436982,-142.9526,-1.7519,2024-05-21 16:00:00,2024-05-22 12:00:00,stop_loss
BUY,0.49830903,0.4921002553571429,16087.811235207679,-99.8856,-1.246,2024-06-10 16:00:00,2024-06-11 00:00:00,stop_loss
BUY,0.491055405,0.5105206833928572,16122.042312075175,313.82,3.964,2024-06-15 20:00:00,2024-06-17 12:00:00,take_profit
BUY,0.50483229,0.4931647228571429,16303.703669290207,-190.2246,-2.3112,2024-06-17 20:00:00,2024-06-18 00:00:00,stop_loss
BUY,0.47125551,0.46303265357142864,17061.681680094283,-140.2958,-1.7449,2024-07-12 08:00:00,2024-07-12 12:00:00,stop_loss
BUY,0.5157577499999999,0.5418485830357143,15317.49303374518,399.6462,5.0587,2024-07-13 04:00:00,2024-07-13 16:00:00,take_profit
BUY,0.56192082,0.5473647521428572,14770.340589968264,-214.9981,-2.5904,2024-07-13 16:00:00,2024-07-13 20:00:00,stop_loss
BUY,0.541040385,0.5785127417857143,14942.99508916245,559.9492,6.926,2024-07-16 04:00:00,2024-07-16 12:00:00,take_profit
BUY,0.58279125,0.6239967741071428,14833.292468824533,611.2136,7.0704,2024-07-16 16:00:00,2024-07-17 12:00:00,take_profit
BUY,0.610835265,0.5962967025,15152.901576391934,-220.3014,-2.3801,2024-07-22 12:00:00,2024-07-23 04:00:00,stop_loss
BUY,0.6252724799999999,0.6078359299999999,14450.700346366699,-251.9704,-2.7886,2024-07-24 12:00:00,2024-07-24 20:00:00,stop_loss
BUY,0.6086141549999999,0.6519784905357143,14432.222471370427,625.8437,7.1251,2024-07-29 08:00:00,2024-07-31 00:00:00,take_profit
BUY,0.59897934,0.5760339817857143,15709.220658528404,-360.4537,-3.8307,2024-08-07 20:00:00,2024-08-09 12:00:00,stop_loss
BUY,0.5632814999999999,0.5853321874999999,16064.871519271483,354.2415,3.9147,2024-09-12 16:00:00,2024-09-14 08:00:00,take_profit
BUY,0.5982689849999999,0.5887933132142857,15717.489330124019,-148.9338,-1.5838,2024-09-21 20:00:00,2024-09-22 12:00:00,stop_loss
BUY,0.61902936,0.6100755239285715,14949.779794118176,-133.8579,-1.4464,2024-09-28 08:00:00,2024-09-29 00:00:00,stop_loss
BUY,0.6247121999999999,0.6539460776785715,14599.514369198198,426.8004,4.6796,2024-09-29 08:00:00,2024-09-29 12:00:00,take_profit
BUY,0.5258628,0.5447382089285714,18155.486864157545,342.6922,3.5894,2024-10-10 16:00:00,2024-10-14 12:00:00,take_profit
BUY,0.55277625,0.5429426785714285,17891.483935149867,-175.9372,-1.7789,2024-10-17 08:00:00,2024-10-17 16:00:00,stop_loss
BUY,0.5100549,0.5029412607142858,19045.107127424817,-135.48,-1.3947,2024-11-04 12:00:00,2024-11-04 20:00:00,stop_loss
BUY,0.5372685,0.5278002535714287,17828.274296940297,-168.8025,-1.7623,2024-11-06 04:00:00,2024-11-06 08:00:00,stop_loss
BUY,0.5560778999999999,0.5432211107142857,16921.67175618034,-217.5584,-2.312,2024-11-07 04:00:00,2024-11-07 12:00:00,stop_loss
BUY,0.58599285,0.6114298464285715,15686.55543584677,399.0189,4.3408,2024-11-10 04:00:00,2024-11-10 12:00:00,take_profit
BUY,0.596298,0.58260855,16084.62242223362,-220.1896,-2.2957,2024-11-10 16:00:00,2024-11-10 20:00:00,stop_loss
BUY,0.6069033,0.6563609410714286,15440.744096654305,763.6628,8.1492,2024-11-12 00:00:00,2024-11-12 08:00:00,take_profit
BUY,0.67883925,0.6516168857142858,14929.456901796892,-406.4151,-4.0101,2024-11-12 12:00:00,2024-11-13 04:00:00,stop_loss
BUY,0.77268615,0.8860710285714286,10557.730148952378,1197.087,14.6741,2024-11-14 20:00:00,2024-11-15 12:00:00,take_profit
BUY,0.8960478,1.023338075,10556.364872210428,1343.7226,14.2057,2024-11-15 16:00:00,2024-11-16 08:00:00,take_profit
BUY,1.1043519,1.0422928785714287,9968.777545797428,-618.6526,-5.6195,2024-11-16 12:00:00,2024-11-17 00:00:00,stop_loss
BUY,1.258629,1.3864492857142856,9256.455374011024,1183.1628,10.1555,2024-11-21 20:00:00,2024-11-22 00:00:00,take_profit
BUY,1.5477735,1.4568212249999999,7112.119315668171,-646.8634,-5.8763,2024-11-23 04:00:00,2024-11-23 16:00:00,stop_loss
BUY,1.6527259499999998,1.7970902910714286,7373.7224914465,1064.5026,8.7349,2024-11-29 08:00:00,2024-11-29 20:00:00,take_profit
BUY,1.9153572,1.8482896785714287,6918.41975921438,-464.0013,-3.5016,2024-11-30 04:00:00,2024-11-30 08:00:00,stop_loss
BUY,2.3007497999999997,2.5358136017857142,5557.859369576201,1306.4516,10.2168,2024-12-01 20:00:00,2024-12-02 12:00:00,take_profit
BUY,2.7505745999999998,2.5965439357142857,4613.87237601486,-710.6778,-5.5999,2024-12-02 16:00:00,2024-12-03 04:00:00,stop_loss
BUY,2.4862425,2.6538152857142854,5382.828730172712,902.0156,6.74,2024-12-16 20:00:00,2024-12-17 08:00:00,take_profit
BUY,2.6002995,2.5182473892857145,5493.610703118759,-450.7624,-3.1555,2024-12-17 12:00:00,2024-12-18 04:00:00,stop_loss
