side,entry_price,exit_price,qty,pnl,pnl_pct,entry_time,exit_time,exit_reason
BUY,0.6712574609999999,0.6267009213571428,11301.2145089112,-503.543,-6.6378,2024-03-17 00:00:00,2024-03-19 00:00:00,stop_loss
BUY,0.646709193,0.6314794951607143,14684.277091637488,-223.6371,-2.355,2024-03-31 00:00:00,2024-04-01 04:00:00,stop_loss
BUY,0.45797087099999995,0.45563406900000003,11099.662726627572,-25.9377,-0.5103,2024-04-14 08:00:00,2024-04-16 00:00:00,signal
BUY,0.42719949299999993,0.4388734535,21645.349121630108,252.687,2.7327,2024-07-21 16:00:00,2024-07-21 20:00:00,take_profit
BUY,0.40793086349999996,0.41741119,23287.203718095232,220.7703,2.324,2024-07-28 12:00:00,2024-07-29 00:00:00,take_profit
BUY,0.3400869585,0.3316412392857144,28581.923454564214,-241.3949,-2.4834,2024-08-11 12:00:00,2024-08-11 20:00:00,stop_loss
BUY,0.33201092249999997,0.33576803200000005,28550.098425274256,107.2658,1.1316,2024-09-01 20:00:00,2024-09-03 00:00:00,signal
BUY,0.3551825025,0.3492132346071429,26989.534377923464,-161.1078,-1.6806,2024-09-15 04:00:00,2024-09-15 08:00:00,stop_loss
BUY,0.393832818,0.402436681,23931.73491360828,205.9054,2.1846,2024-09-29 04:00:00,2024-09-29 16:00:00,take_profit
BUY,1.1800187145,1.133541695625,8161.741717194043,-379.3334,-3.9387,2024-12-08 16:00:00,2024-12-09 08:00:00,stop_loss
BUY,1.0652053364999998,1.0757248685,8685.34378147235,91.3658,0.9876,2024-12-15 00:00:00,2024-12-17 00:00:00,signal
BUY,0.874653108,0.9095040205,7043.953975570344,245.4882,3.9845,2024-12-22 16:00:00,2024-12-24 00:00:00,signal
BUY,1.0679367015,1.015917715607143,8978.555102929258,-467.0553,-4.871,2025-01-19 04:00:00,2025-01-19 08:00:00,stop_loss
BUY,0.7057847159999999,0.702974337,12923.87463604518,-36.321,-0.3982,2025-03-16 08:00:00,2025-03-18 00:00:00,signal
BUY,0.6802109355,0.6571857070535714,13356.37480903889,-307.5336,-3.385,2025-03-30 00:00:00,2025-03-30 16:00:00,stop_loss
BUY,0.6280008435,0.6047459400535714,13977.080944081143,-325.0357,-3.703,2025-04-06 12:00:00,2025-04-06 16:00:00,stop_loss
BUY,0.6134935935,0.626932377,13777.785203119991,185.1567,2.1905,2025-04-20 08:00:00,2025-04-21 00:00:00,take_profit
BUY,0.62617293,0.6416290250000001,13794.495439442655,213.209,2.4683,2025-06-15 08:00:00,2025-06-16 04:00:00,take_profit
BUY,0.891955755,0.9307034155000001,9923.080387744723,384.4961,4.3441,2025-08-24 08:00:00,2025-08-24 16:00:00,take_profit
BUY,0.886969263,0.8600419424821429,10412.36172933208,-280.377,-3.0359,2025-09-14 12:00:00,2025-09-15 08:00:00,stop_loss
BUY,0.774100857,0.7922466785000001,11568.347621040662,209.9172,2.3441,2025-09-28 04:00:00,2025-09-28 20:00:00,take_profit
BUY,0.8299417634999999,0.8656719475000001,11042.925397382827,394.5658,4.3051,2025-10-05 16:00:00,2025-10-06 12:00:00,take_profit
BUY,0.3963981,0.38661016964285716,24116.03570968076,-236.0461,-2.4692,2025-12-14 20:00:00,2025-12-15 12:00:00,stop_loss
BUY,0.37578779999999995,0.3649924125,24810.557066602167,-267.8396,-2.8727,2026-01-18 20:00:00,2026-01-19 00:00:00,stop_loss
BUY,0.35217599999999993,0.34459547321428574,25713.464515492393,-194.9216,-2.1525,2026-01-25 12:00:00,2026-01-25 16:00:00,stop_loss
BUY,0.27593789999999996,0.26724488214285713,32111.368074827147,-279.1447,-3.1504,2026-02-22 04:00:00,2026-02-23 00:00:00,stop_loss
BUY,0.25212599999999996,0.2588705,34036.944926755226,229.5622,2.6751,2026-03-08 00:00:00,2026-03-09 04:00:00,take_profit
BUY,0.25522754999999997,0.24865418214285717,34522.765867797534,-226.9308,-2.5755,2026-03-22 08:00:00,2026-03-22 20:00:00,stop_loss
BUY,0.2399199,0.2344541428571429,35779.56689781273,-195.5624,-2.2782,2026-03-29 16:00:00,2026-03-29 20:00:00,stop_loss
