side,entry_price,exit_price,qty,pnl,pnl_pct,entry_time,exit_time,exit_reason
BUY,34.791387,34.418782,287.427460135464,-107.0969,-1.071,2024-02-04 20:00:00,2024-02-06 00:00:00,signal
BUY,51.483729,58.435767500000004,85.29971351810227,593.0069,13.5034,2024-03-17 04:00:00,2024-03-18 00:00:00,take_profit
BUY,25.9959915,24.660520714285717,396.2526529156142,-529.1838,-5.1372,2024-06-23 00:00:00,2024-06-23 12:00:00,stop_loss
BUY,20.8674285,20.862563500000004,477.1419795161852,-2.3213,-0.0233,2024-08-11 16:00:00,2024-08-13 00:00:00,signal
BUY,22.4502195,21.715743839285715,443.3989986677909,-325.6658,-3.2716,2024-09-01 00:00:00,2024-09-01 20:00:00,stop_loss
BUY,29.230608,28.41225105357143,329.4060484019195,-269.5717,-2.7997,2024-09-29 00:00:00,2024-09-29 12:00:00,stop_loss
BUY,40.252115999999994,43.137420500000005,168.7069302493453,486.7709,7.1681,2024-11-24 08:00:00,2024-11-25 04:00:00,take_profit
BUY,49.72985249999999,49.0804475,197.98848610680807,-128.5747,-1.3059,2024-12-15 00:00:00,2024-12-17 00:00:00,signal
BUY,36.152066999999995,38.496742,183.69337935642193,430.7013,6.4856,2024-12-22 16:00:00,2024-12-24 00:00:00,signal
BUY,30.887435999999997,29.579203,328.54992470764466,-429.8199,-4.2355,2025-02-02 00:00:00,2025-02-02 16:00:00,stop_loss
BUY,19.4607255,18.549113660714287,499.37731861857554,-455.2383,-4.6844,2025-03-30 04:00:00,2025-03-31 00:00:00,stop_loss
BUY,17.196593999999997,16.502601714285714,538.6535637602825,-373.8214,-4.0356,2025-04-06 08:00:00,2025-04-06 16:00:00,stop_loss
BUY,20.247118499999996,19.552540267857143,439.0345828576323,-304.9439,-3.4305,2025-05-04 00:00:00,2025-05-05 08:00:00,stop_loss
BUY,16.666329,15.944809321428574,515.0649168335582,-371.6295,-4.3292,2025-06-22 08:00:00,2025-06-22 16:00:00,stop_loss
BUY,12.98649,12.642604107142859,632.3965819146322,-217.4723,-2.648,2026-01-18 20:00:00,2026-01-19 00:00:00,stop_loss
BUY,11.835915,11.583134107142858,675.4982292333997,-170.753,-2.1357,2026-01-25 12:00:00,2026-01-25 16:00:00,stop_loss
BUY,8.888442,8.657240642857143,880.2877465306066,-203.5237,-2.6011,2026-02-22 12:00:00,2026-02-23 00:00:00,stop_loss
BUY,8.822408999999999,9.011492,863.8074766964324,163.3313,2.1432,2026-03-08 20:00:00,2026-03-09 00:00:00,take_profit
BUY,9.066531,9.565215,858.56367399947,428.152,5.5003,2026-03-22 08:00:00,2026-03-23 08:00:00,take_profit
BUY,8.6032995,8.416932285714285,954.5577406662223,-177.8983,-2.1662,2026-03-29 16:00:00,2026-03-29 20:00:00,stop_loss
