source,strategy,symbol,full_weekly,wf_avg_weekly,pos_folds,all_pos,wf_dd
V8-VBM,VolBreakoutMom,XRPUSDC,1.7679,1.165,4,False,14.39
V6/V7,AdaptiveChannel,NEARUSDC,1.5768,1.1517,5,True,13.92
V8-VBM,VolBreakoutMom,DOGEUSDC,2.1699,1.0496,3,False,19.99
V6/V7,RegimeMomentumV2,XRPUSDC,0.9359,0.9912,3,False,13.88
V8-TSMOM,TSMOM,ADAUSDC,1.1526,0.9409,4,False,15.51
V6/V7,VolatilityCapture,AVAXUSDC,1.236,0.8368,4,False,10.32
V6/V7,MultiEdgeComposite,XRPUSDC,1.2588,0.8137,3,False,16.49
V8-VBM,VolBreakoutMom,ADAUSDC,1.1509,0.7318,3,False,10.26
V8-TSMOM,TSMOM,SOLUSDC,1.0498,0.729,4,False,19.37
V6/V7,AdaptiveChannel,SOLUSDC,0.8611,0.7023,5,True,11.14
V8-TSMOM,TSMOM,AVAXUSDC,0.5674,0.5113,3,False,17.39
V6/V7,MultiEdgeComposite,DOGEUSDC,0.4597,0.4689,3,False,24.59
V8-TSMOM,TSMOM,XRPUSDC,0.8907,0.4616,4,False,18.09
V8-TSMOM,TSMOM,DOGEUSDC,0.4868,0.3758,4,False,23.46
V6/V7,CrossPairLeader,BTCUSDC,0.4573,0.3659,4,False,14.44
V6/V7,VolatilityCapture,NEARUSDC,0.496,0.3584,3,False,12.13
V6/V7,MomentumAccelerator,AVAXUSDC,0.0474,0.0333,1,False,22.76
V6/V7,CrossPairLeader,AVAXUSDC,-0.1708,-0.1669,2,False,24.71
