strategy,symbol,param_idx,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
TSMOM,SOLUSDC,3,"{'lookback': 12, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",21362.83,113.6283,0.9706,168,46.43,1.1947,32.0,0.9585,117.1
VolBreakoutMom,XRPUSDC,3,"{'lookback': 15, 'k_threshold': 1.5, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",19061.4,90.614,0.774,107,32.71,1.3473,27.16,0.9762,117.1
VolBreakoutMom,DOGEUSDC,1,"{'lookback': 10, 'k_threshold': 1.5, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",18191.94,81.9194,0.6997,129,37.21,1.2065,25.44,0.8904,117.1
TSMOM,NEARUSDC,1,"{'lookback': 8, 'z_threshold': 0.75, 'vol_min_ann': 0.3}",18017.33,80.1733,0.6848,181,41.44,1.1074,36.8,0.8148,117.1
VolBreakoutMom,DOGEUSDC,3,"{'lookback': 15, 'k_threshold': 1.5, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",17382.01,73.8201,0.6306,115,33.91,1.2354,26.23,0.8895,117.1
VolBreakoutMom,XRPUSDC,4,"{'lookback': 20, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.5}",17352.37,73.5237,0.628,129,41.86,1.1845,27.47,0.6853,117.1
TSMOM,ADAUSDC,3,"{'lookback': 12, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",17166.23,71.6623,0.6121,163,42.33,1.1474,36.11,0.7172,117.1
VolBreakoutMom,XRPUSDC,0,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 2.0, 'sl_atr_mult': 1.0}",17120.99,71.2099,0.6083,147,37.41,1.1691,36.19,0.6373,117.1
VolBreakoutMom,ADAUSDC,4,"{'lookback': 20, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.5}",15819.04,58.1904,0.4971,112,43.75,1.1637,37.07,0.6775,117.1
TSMOM,AVAXUSDC,1,"{'lookback': 8, 'z_threshold': 0.75, 'vol_min_ann': 0.3}",15802.87,58.0287,0.4957,208,41.83,1.0801,32.49,0.7074,117.1
TSMOM,ETHUSDC,3,"{'lookback': 12, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",14794.41,47.9441,0.4095,152,46.71,1.1274,36.52,0.7226,117.1
TSMOM,ETHUSDC,2,"{'lookback': 12, 'z_threshold': 0.75, 'vol_min_ann': 0.3}",14688.3,46.883,0.4005,184,45.65,1.1181,32.93,0.6505,117.1
VolBreakoutMom,DOGEUSDC,4,"{'lookback': 20, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.5}",13794.71,37.9471,0.3241,135,42.22,1.0845,37.86,0.5167,117.1
VolBreakoutMom,ADAUSDC,2,"{'lookback': 10, 'k_threshold': 2.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.5}",13009.84,30.0984,0.2571,52,40.38,1.2084,25.81,0.6404,117.1
TSMOM,NEARUSDC,0,"{'lookback': 6, 'z_threshold': 0.5, 'vol_min_ann': 0.2}",12987.26,29.8726,0.2552,213,39.91,1.0443,39.78,0.4766,117.1
VolBreakoutMom,BTCUSDC,3,"{'lookback': 15, 'k_threshold': 1.5, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",12985.47,29.8547,0.255,106,34.91,1.2265,15.17,0.7652,117.1
BTCResidualMR,XRPUSDC,0,"{'z_entry': 1.5, 'corr_window': 40, 'min_corr': 0.5}",12931.08,29.3108,0.2504,100,56.0,1.1307,38.03,0.5731,117.1
VolBreakoutMom,XRPUSDC,1,"{'lookback': 10, 'k_threshold': 1.5, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",12872.41,28.7241,0.2454,120,33.33,1.1123,37.03,0.5073,117.1
TSMOM,AVAXUSDC,0,"{'lookback': 6, 'z_threshold': 0.5, 'vol_min_ann': 0.2}",12755.09,27.5509,0.2353,234,38.89,1.0463,35.06,0.4578,117.1
VolBreakoutMom,BTCUSDC,2,"{'lookback': 10, 'k_threshold': 2.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.5}",12516.56,25.1656,0.215,60,45.0,1.2958,17.4,0.6919,117.1
BTCResidualMR,BNBUSDC,1,"{'z_entry': 2.0, 'corr_window': 60, 'min_corr': 0.6}",12457.99,24.5799,0.21,61,54.1,1.2534,17.32,0.8654,117.1
TSMOM,XRPUSDC,4,"{'lookback': 24, 'z_threshold': 0.75, 'vol_min_ann': 0.2}",12176.83,21.7683,0.1859,219,39.73,1.0416,36.84,0.4103,117.1
TSMOM,ADAUSDC,1,"{'lookback': 8, 'z_threshold': 0.75, 'vol_min_ann': 0.3}",12019.96,20.1996,0.1725,188,41.49,1.0431,38.15,0.3863,117.1
