strategy,symbol,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
TSMOM,ADAUSDC,"{'lookback': 10, 'z_threshold': 1.1, 'vol_min_ann': 0.3}",23493.18,134.9318,1.1526,148,45.95,1.2588,26.68,1.0907,117.1
TSMOM,ADAUSDC,"{'lookback': 10, 'z_threshold': 1.1, 'vol_min_ann': 0.25}",22670.4,126.704,1.0823,150,45.33,1.2495,28.88,1.052,117.1
TSMOM,SOLUSDC,"{'lookback': 12, 'z_threshold': 1.1, 'vol_min_ann': 0.35}",22289.88,122.8988,1.0498,158,45.57,1.2244,26.73,1.0114,117.1
TSMOM,SOLUSDC,"{'lookback': 12, 'z_threshold': 1.1, 'vol_min_ann': 0.3}",22257.49,122.5749,1.047,158,45.57,1.2239,26.84,1.01,117.1
TSMOM,SOLUSDC,"{'lookback': 12, 'z_threshold': 1.1, 'vol_min_ann': 0.25}",22195.02,121.9502,1.0417,158,45.57,1.2228,27.04,1.0072,117.1
TSMOM,ADAUSDC,"{'lookback': 10, 'z_threshold': 1.1, 'vol_min_ann': 0.35}",21999.32,119.9932,1.025,146,45.21,1.2434,29.48,1.0198,117.1
TSMOM,SOLUSDC,"{'lookback': 12, 'z_threshold': 1.0, 'vol_min_ann': 0.35}",21393.91,113.9391,0.9732,168,46.43,1.1952,31.9,0.9598,117.1
TSMOM,SOLUSDC,"{'lookback': 12, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",21362.83,113.6283,0.9706,168,46.43,1.1947,32.0,0.9585,117.1
TSMOM,SOLUSDC,"{'lookback': 12, 'z_threshold': 1.0, 'vol_min_ann': 0.25}",21302.86,113.0286,0.9655,168,46.43,1.1938,32.19,0.9559,117.1
TSMOM,XRPUSDC,"{'lookback': 10, 'z_threshold': 1.0, 'vol_min_ann': 0.25}",20427.77,104.2777,0.8907,169,43.79,1.2307,27.38,1.0589,117.1
TSMOM,XRPUSDC,"{'lookback': 10, 'z_threshold': 1.0, 'vol_min_ann': 0.35}",20017.24,100.1724,0.8557,161,44.1,1.2297,27.88,1.0346,117.1
TSMOM,XRPUSDC,"{'lookback': 10, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",19602.6,96.026,0.8202,169,43.2,1.2198,27.38,1.0053,117.1
TSMOM,SOLUSDC,"{'lookback': 13, 'z_threshold': 0.9, 'vol_min_ann': 0.25}",18662.43,86.6243,0.7399,181,45.86,1.1321,35.7,0.8472,117.1
