strategy,symbol,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.5, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",35403.85,254.0385,2.1699,111,37.84,1.4474,27.56,1.2801,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.5, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",34556.73,245.5673,2.0976,112,34.82,1.4799,26.34,1.3064,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.25, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",30914.45,209.1445,1.7865,138,35.51,1.2688,31.79,1.1475,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 18, 'k_threshold': 1.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 0.8}",30696.74,206.9674,1.7679,136,29.41,1.4161,32.32,1.006,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 18, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 0.8}",29576.5,195.765,1.6722,143,32.87,1.4222,32.95,1.0998,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.5, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",29444.43,194.4443,1.6609,120,33.33,1.3412,29.05,1.1566,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.5, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",28986.54,189.8654,1.6218,119,36.13,1.3018,30.74,1.1058,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 0.8}",28606.49,186.0649,1.5893,147,27.89,1.3142,36.48,0.9542,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 10, 'k_threshold': 1.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",28548.91,185.4891,1.5844,155,32.26,1.2934,34.82,1.0268,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.0, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",27567.27,175.6727,1.5006,147,35.37,1.2288,37.72,1.0806,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.0, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",26666.43,166.6643,1.4236,153,34.64,1.2071,37.03,1.0469,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 10, 'k_threshold': 1.0, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",26649.65,166.4965,1.4222,147,29.25,1.3056,32.29,1.0385,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 15, 'k_threshold': 1.25, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",26392.53,163.9253,1.4002,129,33.33,1.3472,35.12,0.9773,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 10, 'k_threshold': 1.25, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",26358.06,163.5806,1.3973,141,32.62,1.3111,32.69,0.9661,117.1
